PICKING,VIN,MODELO,COLOR,DEALER,CLIENTE FINAL,PROVEDOR,UBICACIÓN ESUM,Fecha Despacho,Destino,REALIZADO,UBICACION VARI,Estado CC,QUE REPROCESO FALTA,REPROCESO PINTURA,REPROCESO REPUESTOS,TALLER,FUE CONVERTIDO A GLP,UBICACIÓN MAPEADA-APP,HORA REGISTRADA,ENTREGA-REVO Y ESSA,REVISION-REVO Y ESSA,OBSERVACION - REVO Y ESSA,ENTREGA-EMSA Y ASSA,REVISION-EMSA Y ASSA,OBSERVACION - EMSA Y ASSA
,LS4ASL2E9TE158483,NEW V7 1.6 MEC PLUS,BLANCO,ADELANTO PDI ZI - VENTA INTER TRUJILLO,ALTOS ANDES,JULIO CRUZADO,LISTOS,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Estribo de puerta maletera raspado | Guardafango posterior RH quiñado con oxido | Guardafango quiñado posterior rh | Estribo de puerta delantera RH quiñado(filo de tapa) | Pernos de escalera con óxidos | Oxidado inter de motor | Ray pantalla de radio | Asientos traseros Apoya cabezas descolorido Obs adicionales: Asientos posterior maletera,REPUESTO: Mascara delantero careada | Emblema delantero rayado | Falta Manual de propietario | Rays en cromo máscara,VARI BIRRAK,,Isla 4,2026-03-13T07:08:51.747Z,,,,,,
,9BWCH6CH0TP049761,NIVUS COMFORTLINE 200 TSI TIP,NEGRO NINJA,EUROSHOP S.A. - VW Mall Plaza Norte,EUROSHOP,SUM,LISTOS,14/3/2026,DESPACHO,NO,,Para validar,Completo,PINTURA: Moldura de parachoque lado LH raspado | Moldura de parachoque lado RH raspado | Filo de puerta posterior RH raspado | Abolladura en marco de puerta delantera RH,REPUESTO: ,VARI BIRRAK,,"Mapeado, pero sin zona",2026-03-13T12:46:43.995Z,,,,,,
,LVTDB11B9VDC01270,X50 1.5L 4X2 5MT CONFORT,PLATA,VENTA REVO,REVOSHOP,SUM,LISTOS,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Poste central lh con quiñe | Rayaduras  en aro drh,REPUESTO: ,VARI BIRRAK,,Isla 3,2026-03-13T10:21:22.550Z,,,,,,
,LVTDD24B4TDB15423,T1 2.0T AWD 8AT B/O,BLANCO,VENTA HS TALLERES,ALTOS ANDES,YERMAN,LISTOS,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Repuestos,PINTURA: ,REPUESTO: Aro posterior lh raspado,VARI BIRRAK,,Isla 4,2026-03-13T09:28:14.216Z,,,,,,
,LVTDB21B9TDA05249,S06 1.5T 4X2 6DCT B,BLANCO,EXHIBICION AASA EN REVO,ALTOS ANDES,GRUPO 81,ZONA,14/3/2026,DESPACHO,NO,P8 B 2 C,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,1era Entrega,Aceptado,,,,
,3VVKP6B25TM017109,"TAOS TRENDLINE 250 TSI, 1.4L, 2WD, TIP",AZUL WAIMEA,adelanto pdi - VENTA SAN BORJA,EUROSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Borde de puerta de gamusa pelado DRH | Embellecedor de | Embellecedor de maletero rayado | Borde de puerta de gamusa pelado DRH,REPUESTO: ,VARI BIRRAK,,Zona revo,2026-03-13T10:50:55.772Z,2da Entrega,Aceptado,,,,
,3VVDP6RM9TM032308,"TIGUAN LIFE PLUS 250TSI, 1.4L, 2WD",GRIS PLATINO,EUROSHOP S.A. - VW San Borja,EUROSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,2da Entrega,Aceptado,,,,
,3VVDP6RM6TM042049,"TIGUAN LIFE 250TSI, 1.4L, 2WD",BLANCO PURO,adelanto pdi - VENTA LA MOLINA,EUROSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,2da Entrega,Aceptado,"-No lleva libro de garantía 
-No lleva test de batería",,,
,9BWBH6BF8T4051108,T-CROSS TRENDLINE 200 TSI TIP,AZUL NORWAY,adelanto pdi - VENTA SAN BORJA,EUROSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,1era Entrega,Aceptado,"Unidad en motor poco oxido 
Fluidos ok 
Unidad [ ok]  con covertor en maletera
Equipamentos completos
A/C ( ok)",,,
,9BWBH6DF9TT347502,TERA COMFORT 170 TSI 1.0L TIP,GRIS PLATINO,EUROSHOP S.A. - VW La Molina,EUROSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,#N/A,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,2da Entrega,Aceptado,,,,
,LS4ASL2E1TE533153,"NEW V3 1,5 MEC PLUS",BLANCO,VENTA REVO GLP,REVOSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,2da Entrega,Aceptado,,,,
,LS4ASL2E7TE520536,"NEW V3 1,5 MEC FULL",AZUL OSCURO,VENTA REVO GLP,REVOSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,2da Entrega,Aceptado,,,,
,LS4ASL2E6TE495337,NEW V3 1.5 MEC FULL,BLANCO,VENTA REVO,REVOSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,1era Entrega,Aceptado,,,,
,LS4ASL2E4TE158794,NEW V5 1.5 MEC PLUS,GRIS,ADELANTO PDI - VENTA REVO,REVOSHOP,SUM,ZONA,14/3/2026,DESPACHO,NO,COLA DE LAVADO SUM ,-,-,PINTURA: ,REPUESTO: ,VARI BIRRAK,,-,-,2da Entrega,Aceptado,,,,
,LVTDB11B3VDC01202,X50 1.5L 4X2 5MT CONFORT,BLANCO,INTERAMERICANA TRUJILLO SOCIEDAD ANONIMA,VENTA INTER TRUJILLO,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,P8 B 5 H,Para validar,Completo,PINTURA: ,REPUESTO: Jebe deforme en puerta posterior lh,VARI BIRRAK,,Isla 14,2026-03-13T07:33:16.033Z,,,,2da Entrega,Rechazado,"Cromo máscara despintado
Carrocería con manchas
Raspones capot"
,LVTDB11B4VDC01242,X50 1.5L 4X2 5MT CONFORT,GRIS OSCURO,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,PLATAFORMA 8 - 1 A,Reproceso,Falta: Reproceso Pintura,PINTURA: Embellecedor de máscara con manchas blancas,REPUESTO: ,VARI BIRRAK,,Isla 4,2026-03-13T07:05:36.513Z,,,,3era Entrega,Rechazado,Embellecedor de máscara con manchas
,LSCABN3E9TE144386,NEW X5 1.5 MEC CARGO BOX,BLANCO,SUR MOTORS S.A.,VENTA SUR MOTORS,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,PINTURA: Oxido en inter de motor | Oxido en visagras | Oxido en visagras de tolva | Estribo delantera lh con oxido | Aro central  lh y RH con óxido,REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:31:42.934Z,,,,1era Entrega,,
,LS4ASL2E2TE158714,"NEW V5 1,5 MEC PLUS",GRIS,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE GLP,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:31:05.701Z,,,,1era Entrega,,
,LVTDB11B6VDC01257,X50 1.5L 4X2 5MT CONFORT,PLATA,SUR MOTORS S.A.,VENTA SUR MOTORS,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,P8 C 3 C,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:31:18.266Z,,,,1era Entrega,,
,LS4ASL2E0TE158324,NEW V7 1.6 MEC PLUS,GRIS,HS TALLERES S.R.L.,ADELANTO PDI ZI - HS TALLERES,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,SUM ISLA 22 19 E,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Pantalla central rayado | Techo con oxido | Emblema delantero con puntos de careo | Puerta POS LH con rayadura | Pernos de aro de llanta delantera posterior RH LH oxidados | Puerta delantera RH con abolladura | Puerta del LH con abolladura | Puerta POS LH con abolladura,REPUESTO: Parachoque delantero RH descuadrada | Máscara de parrilla con grumos | Faros delanteros RH LH con rayadura interna,VARI BIRRAK,,Isla 5,2026-03-13T07:26:29.316Z,,,,,,
,LS4ASL2E8TE158457,NEW V7 1.6 MEC PLUS,PLATA,HS TALLERES S.R.L.,ADELANTO PDI ZI - HS TALLERES,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,TARJA ,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Pantalla de radio con rayaduras,REPUESTO: Asiento de copiloto roto | Logo delantero careado,VARI BIRRAK,,Isla 20 - FILA 19,2026-03-13T15:05:26.532Z,1era Entrega,,,1era Entrega,,
,LS4ASL2E8TE158460,NEW V7 1.6 MEC PLUS,PLATA,HS TALLERES S.R.L.,ADELANTO PDI ZI - HS TALLERES,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,TARJA ,Reproceso,Falta: Reproceso Repuestos,PINTURA: Inter de motor con oxido | Fp poste central,REPUESTO: Letras careadas | Careado cromo neblinero rh,VARI BIRRAK,,Lavado despacho,2026-03-13T10:52:53.301Z,,,,2da Entrega,,
,LS4ASL2E7TE158482,NEW V7 1.6 MEC PLUS,BLANCO,HS TALLERES S.R.L.,ADELANTO PDI ZI - HS TALLERES,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,TARJA ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:32:06.712Z,,,,,,
,LSCABN3E6TE144393,NEW X5 1.5 MEC CARGO BOX,BLANCO,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:27:15.540Z,,,,1era Entrega,,
,LS4ASL2E9TE158791,"NEW V5 1,5 MEC PLUS",GRIS,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE GLP,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,TARJA ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,"Mapeado, pero sin zona",2026-03-13T07:27:04.626Z,,,,1era Entrega,,
,LVTDB21B4TDA05238,S06 1.6T 4X2 7DCT G,BLANCO,CARPIO S.A.C.,VENTA CARPIO,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Listo,Completo,"PINTURA: Estribo de puerta piloto con rayadura | Interior de maletera LH con desperfecto | Embellecedores de puerta LH Rh posterior, delantero con rayaduras | Bisel de puerta Pos Del RH LH y guarfango POS Rh LH con RAYADURAS",REPUESTO: ,VARI BIRRAK,,Isla 5,2026-03-13T07:31:29.288Z,,,,,,
,LS4ASL2E0TE158713,"NEW V5 1,5 MEC PLUS",GRIS,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE GLP,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Para validar,Completo,PINTURA: Ray en estribo Pilot | Qñ Inter marco de prta | Abolladura en capot | Rayado en Guardafango d rh,REPUESTO: Logo posterior careado,VARI BIRRAK,,"Mapeado, pero sin zona",2026-03-13T12:46:36.030Z,,,,1era Entrega,Rechazado,
