PICKING,VIN,MODELO,COLOR,DEALER,CLIENTE FINAL,PROVEDOR,UBICACIÓN ESUM,Fecha Despacho,Destino,REALIZADO,UBICACION VARI,Estado CC,QUE REPROCESO FALTA,REPROCESO PINTURA,REPROCESO REPUESTOS,TALLER,FUE CONVERTIDO A GLP,UBICACIÓN MAPEADA-APP,HORA REGISTRADA,ENTREGA-REVO Y ESSA,REVISION-REVO Y ESSA,OBSERVACION - REVO Y ESSA,ENTREGA-EMSA Y ASSA,REVISION-EMSA Y ASSA,OBSERVACION - EMSA Y ASSA
,LVTDB21BXTDB28168,X50 1.5T 4X2 6DCT LIMITED,BLANCO,VENTA CARPIO,ALTOS ANDES,VILLA EXPRESS,ZONA,13/3/2026,DESPACHO,PREPARADO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:27:52.186Z,,,,1era Entrega,Aceptado,
,HJRPBGFA8TB036590,DASHING 1.5T 4X2 6MT CONFORT ACP B,ROJO,VENTA CARPIO,ALTOS ANDES,VILLA EXPRESS,ZONA,13/3/2026,DESPACHO,PREPARADO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Interior de puerta delantera RH con quiñe | Protector de espejo copiloto arañado | Faro posterior Rh raspado,REPUESTO: ,VARI BIRRAK,,Pintura,2026-03-13T14:43:12.515Z,,,,2da Entrega,Aceptado,
,3VVKP6B20TM041284,"TAOS TRENDLINE 250 TSI, 1.4L, 2WD, TIP",GRIS FRANELA,EXH CARPIO,ALTOS ANDES,VILLA EXPRESS,ZONA,13/3/2026,DESPACHO,PREPARADO,,Listo,Completo,PINTURA: Jebe de luneta LH con desperfecto,REPUESTO: ,VARI BIRRAK,,Isla 12,2026-03-13T12:23:02.619Z,,,,1era Entrega,Aceptado,
,LVTDB21B4TD915193,S07 1.5T 4X2 6DCT B,NEGRO,VENTA AION,ALTOS ANDES,ALESE,ZONA,13/3/2026,DESPACHO,PREPARADO,,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Pintura,2026-03-13T07:15:05.086Z,,,,2da Entrega,Aceptado,
,HJRPBGFA1TB036589,DASHING 1.5T 4X2 6MT CONFORT ACP B,ROJO,VENTA AUTOS DEL SUR 20.01|,ALTOS ANDES,GLOBAL CAR,ZONA,13/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Llave dorada con quiña | Mando de distancia con quiñe | Parachoque delantero LH raspado | Manija de puerta piloto raspado | Filo de puerta delantera lh con quiñe | Estribos de puerta posterior lh raspado | Moldura de parachoque posterior lh raspado | Embellecedor de puerta delantera de RH raspado,REPUESTO: ,VARI BIRRAK,,Isla 14 - FILA 2,2026-03-13T07:59:44.062Z,,,,,Aceptado,
,9BWBH6DF0TT349543,TERA HIGH 170 TSI 1.0L TIP,AZUL MALIBU,EXH CAMACHO,EURO MOTORS,GRUPO 81,ZONA,13/3/2026,DESPACHO,NO,,Para validar,Completo,PINTURA: Filo de puerta posterior LH con quiñe,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:29:27.695Z,,,,2da Entrega,Aceptado,
,9BWBH6DF9TT349539,TERA HIGH 170 TSI 1.0L TIP,AZUL MALIBU,EXH SAN BORJA,EURO MOTORS,GRUPO 81,ZONA,13/3/2026,DESPACHO,PREPARADO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Estribo de puerta posterior lh con grumos notorios,REPUESTO: ,VARI BIRRAK,,"Mapeado, pero sin zona",2026-03-13T10:56:47.789Z,,,,3era Entrega,Aceptado,
,LS4ASL2E9TE158483,NEW V7 1.6 MEC PLUS,BLANCO,ADELANTO PDI ZI - VENTA INTER TRUJILLO,ALTOS ANDES,JULIO CRUZADO,LISTOS,14/3/2026,DESPACHO,NO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Estribo de puerta maletera raspado | Guardafango posterior RH quiñado con oxido | Guardafango quiñado posterior rh | Estribo de puerta delantera RH quiñado(filo de tapa) | Pernos de escalera con óxidos | Oxidado inter de motor | Ray pantalla de radio | Asientos traseros Apoya cabezas descolorido Obs adicionales: Asientos posterior maletera,REPUESTO: Mascara delantero careada | Emblema delantero rayado | Falta Manual de propietario | Rays en cromo máscara,VARI BIRRAK,,Isla 4,2026-03-13T07:08:51.747Z,,,,,,
,9BWCH6CH0TP049761,NIVUS COMFORTLINE 200 TSI TIP,NEGRO NINJA,EUROSHOP S.A. - VW Mall Plaza Norte | Fecha de entrega: Mar 6 2026 8:05AM,EUROSHOP,SUM,LISTOS,14/3/2026,DESPACHO,PREPARADO,,Para validar,Completo,PINTURA: Moldura de parachoque lado LH raspado | Moldura de parachoque lado RH raspado | Filo de puerta posterior RH raspado | Abolladura en marco de puerta delantera RH,REPUESTO: ,VARI BIRRAK,,"Mapeado, pero sin zona",2026-03-13T12:46:43.995Z,,,,,,
,LVTDB11BXTDB49919,X50 1.5L 4X2 5MT CONFORT,NEGRO,VENTA REVO,REVOSHOP,SUM,ZONA,13/3/2026,DESPACHO,PREPARADO,,Reproceso,Falta: Reproceso Pintura,PINTURA: Puerta POS LH con abolladura | Puerta maletera con abolladura | Puerta POS RH abollado,REPUESTO: ,-,,Isla 5 - FILA 5,2026-03-13T09:09:05.477Z,,Aceptado,"Abolladura minima en pta post (L) autorizaron pasable
Combustible minimo ( no tiene )
Unidad ok 
A/c ok 
Equipamentos ok completo sin cobertor maletera",,,
